ID_Cliente,Evasion,Genero,Adulto_Mayor,Tiene_Pareja,Tiene_Dependientes,Meses_Contrato,Servicio_Telefono,Multiples_Lineas,Tipo_Internet,Seguridad_Online,Backup_Online,Proteccion_Dispositivo,Soporte_Tecnico,Streaming_TV,Streaming_Peliculas,Tipo_Contrato,Factura_Digital,Metodo_Pago,Cargos_Mensuales,Cargos_Totales,Cuentas_Diarias,Evasion_Binaria
0002-ORFBO,No,Femenino,0,Sí,Sí,9,Sí,No,DSL,No,Sí,No,Sí,Sí,No,One year,Sí,Mailed check,65.6,593.3,2.19,0.0
0003-MKNFE,No,Masculino,0,No,No,9,Sí,Sí,DSL,No,No,No,No,No,Sí,Month-to-month,No,Mailed check,59.9,542.4,2.0,0.0
0004-TLHLJ,Sí,Masculino,0,No,No,4,Sí,No,Fiber optic,No,No,Sí,No,No,No,Month-to-month,Sí,Electronic check,73.9,280.85,2.46,1.0
0011-IGKFF,Sí,Masculino,1,Sí,No,13,Sí,No,Fiber optic,No,Sí,Sí,No,Sí,Sí,Month-to-month,Sí,Electronic check,98.0,1237.85,3.27,1.0
0013-EXCHZ,Sí,Femenino,1,Sí,No,3,Sí,No,Fiber optic,No,No,No,Sí,Sí,No,Month-to-month,Sí,Mailed check,83.9,267.4,2.8,1.0
0013-MHZWF,No,Femenino,0,No,Sí,9,Sí,No,DSL,No,No,No,Sí,Sí,Sí,Month-to-month,Sí,Credit card (automatic),69.4,571.45,2.31,0.0
0013-SMEOE,No,Femenino,1,Sí,No,71,Sí,No,Fiber optic,Sí,Sí,Sí,Sí,Sí,Sí,Two year,Sí,Bank transfer (automatic),109.7,7904.25,3.66,0.0
0014-BMAQU,No,Masculino,0,Sí,No,63,Sí,Sí,Fiber optic,Sí,No,No,Sí,No,No,Two year,Sí,Credit card (automatic),84.65,5377.8,2.82,0.0
0015-UOCOJ,No,Femenino,1,No,No,7,Sí,No,DSL,Sí,No,No,No,No,No,Month-to-month,Sí,Electronic check,48.2,340.35,1.61,0.0
0016-QLJIS,No,Femenino,0,Sí,Sí,65,Sí,Sí,DSL,Sí,Sí,Sí,Sí,Sí,Sí,Two year,Sí,Mailed check,90.45,5957.9,3.02,0.0
0017-DINOC,No,Masculino,0,No,No,54,No,Sin servicio telefónico,DSL,Sí,No,No,Sí,Sí,No,Two year,No,Credit card (automatic),45.2,2460.55,1.51,0.0
0017-IUDMW,No,Femenino,0,Sí,Sí,72,Sí,Sí,Fiber optic,Sí,Sí,Sí,Sí,Sí,Sí,Two year,Sí,Credit card (automatic),116.8,8456.75,3.89,0.0
0018-NYROU,No,Femenino,0,Sí,No,5,Sí,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Sí,Electronic check,68.95,351.5,2.3,0.0
0019-EFAEP,No,Femenino,0,No,No,72,Sí,Sí,Fiber optic,Sí,Sí,Sí,No,Sí,No,Two year,Sí,Bank transfer (automatic),101.3,7261.25,3.38,0.0
0019-GFNTW,No,Femenino,0,No,No,56,No,Sin servicio telefónico,DSL,Sí,Sí,Sí,Sí,No,No,Two year,No,Bank transfer (automatic),45.05,2560.1,1.5,0.0
0020-INWCK,No,Femenino,0,Sí,Sí,71,Sí,Sí,Fiber optic,No,Sí,Sí,No,No,Sí,Two year,Sí,Credit card (automatic),95.75,6849.4,3.19,0.0
0020-JDNXP,No,Femenino,0,Sí,Sí,34,No,Sin servicio telefónico,DSL,Sí,No,Sí,Sí,Sí,Sí,One year,No,Mailed check,61.25,1993.2,2.04,0.0
0021-IKXGC,No,Femenino,1,No,No,1,Sí,Sí,Fiber optic,No,No,No,No,No,No,Month-to-month,Sí,Electronic check,72.1,72.1,2.4,0.0
0022-TCJCI,Sí,Masculino,1,No,No,45,Sí,No,DSL,Sí,No,Sí,No,No,Sí,One year,No,Credit card (automatic),62.7,2791.5,2.09,1.0
0023-HGHWL,Sí,Masculino,1,No,No,1,No,Sin servicio telefónico,DSL,No,No,No,No,No,No,Month-to-month,Sí,Electronic check,25.1,25.1,0.84,1.0
0023-UYUPN,No,Femenino,1,Sí,No,50,Sí,Sí,Sin internet,,,,,,,One year,No,Electronic check,25.2,1306.3,0.84,0.0
0023-XUOPT,Sí,Femenino,0,Sí,No,13,Sí,Sí,Fiber optic,No,Sí,Sí,No,Sí,No,Month-to-month,No,Electronic check,94.1,1215.6,3.14,1.0
0027-KWYKW,No,Femenino,0,Sí,Sí,23,Sí,Sí,Fiber optic,No,No,No,No,Sí,No,Month-to-month,Sí,Electronic check,83.75,1849.95,2.79,0.0
0030-FNXPP,No,Femenino,0,No,No,3,Sí,No,Sin internet,,,,,,,Month-to-month,No,Mailed check,19.85,57.2,0.66,0.0
0031-PVLZI,Sí,Femenino,0,Sí,Sí,4,Sí,No,Sin internet,,,,,,,Month-to-month,No,Mailed check,20.35,76.35,0.68,1.0
0032-PGELS,Sí,Femenino,0,Sí,Sí,1,No,Sin servicio telefónico,DSL,Sí,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),30.5,30.5,1.02,1.0
0036-IHMOT,No,Femenino,0,Sí,Sí,55,Sí,No,Fiber optic,No,Sí,Sí,Sí,Sí,Sí,One year,Sí,Bank transfer (automatic),103.7,5656.75,3.46,0.0
0040-HALCW,No,Masculino,0,Sí,Sí,54,Sí,No,Sin internet,,,,,,,Two year,No,Credit card (automatic),20.4,1090.6,0.68,0.0
0042-JVWOJ,No,Masculino,0,No,No,26,Sí,No,Sin internet,,,,,,,One year,Sí,Bank transfer (automatic),19.6,471.85,0.65,0.0
0042-RLHYP,No,Femenino,0,Sí,Sí,69,Sí,No,Sin internet,,,,,,,Two year,No,Bank transfer (automatic),19.7,1396.9,0.66,0.0
0047-ZHDTW,,Femenino,0,No,No,11,Sí,Sí,Fiber optic,Sí,No,No,No,No,No,Month-to-month,Sí,Bank transfer (automatic),79.0,929.3,2.63,
0048-LUMLS,No,Masculino,0,Sí,Sí,37,Sí,No,Fiber optic,No,No,No,No,Sí,Sí,One year,No,Credit card (automatic),91.2,3247.55,3.04,0.0
0048-PIHNL,No,Femenino,0,Sí,No,49,Sí,No,Sin internet,,,,,,,One year,No,Bank transfer (automatic),20.45,900.9,0.68,0.0
0052-DCKON,No,Masculino,0,Sí,No,66,Sí,Sí,Fiber optic,Sí,Sí,Sí,Sí,Sí,Sí,One year,No,Bank transfer (automatic),115.8,7942.15,3.86,0.0
0052-YNYOT,No,Femenino,0,No,No,67,Sí,No,Sin internet,,,,,,,One year,No,Electronic check,20.55,1343.4,0.68,0.0
0056-EPFBG,No,Masculino,0,Sí,Sí,20,No,Sin servicio telefónico,DSL,Sí,No,Sí,Sí,No,No,Two year,Sí,Credit card (automatic),39.4,825.4,1.31,0.0
0057-QBUQH,No,Femenino,0,No,Sí,43,Sí,Sí,Sin internet,,,,,,,Two year,Sí,Electronic check,25.1,1070.15,0.84,0.0
0058-EVZWM,No,Femenino,0,Sí,No,55,Sí,Sí,Fiber optic,Sí,No,No,No,Sí,No,Month-to-month,Sí,Bank transfer (automatic),89.8,4959.6,2.99,0.0
0060-FUALY,No,Femenino,0,Sí,No,59,Sí,Sí,Fiber optic,Sí,Sí,No,No,Sí,No,Month-to-month,Sí,Electronic check,94.75,5597.65,3.16,0.0
0064-SUDOG,No,Femenino,0,Sí,Sí,12,Sí,No,Sin internet,,,,,,,Two year,No,Bank transfer (automatic),20.3,224.5,0.68,0.0
0064-YIJGF,No,Masculino,0,Sí,Sí,27,Sí,Sí,Fiber optic,No,No,No,No,No,No,Month-to-month,Sí,Bank transfer (automatic),75.75,1929.0,2.52,0.0
0067-DKWBL,Sí,Masculino,1,No,No,2,Sí,No,DSL,Sí,No,No,No,No,No,Month-to-month,Sí,Electronic check,49.25,91.1,1.64,1.0
0068-FIGTF,No,Femenino,0,No,No,27,Sí,No,DSL,No,Sí,Sí,Sí,Sí,Sí,One year,No,Mailed check,78.2,2078.95,2.61,0.0
0071-NDAFP,No,Masculino,0,Sí,Sí,25,Sí,Sí,Sin internet,,,,,,,Two year,No,Credit card (automatic),25.5,630.6,0.85,0.0
0074-HDKDG,No,Masculino,0,Sí,Sí,25,Sí,No,DSL,Sí,Sí,Sí,No,No,No,One year,Sí,Bank transfer (automatic),61.6,1611.0,2.05,0.0
0076-LVEPS,No,Masculino,0,No,Sí,29,No,Sin servicio telefónico,DSL,Sí,Sí,Sí,Sí,No,No,Month-to-month,Sí,Mailed check,45.0,1242.45,1.5,0.0
0078-XZMHT,No,Masculino,0,Sí,No,72,Sí,Sí,DSL,No,Sí,Sí,Sí,Sí,Sí,Two year,Sí,Bank transfer (automatic),85.15,6316.2,2.84,0.0
0080-EMYVY,No,Femenino,0,No,No,14,Sí,No,DSL,No,Sí,No,No,No,No,One year,No,Credit card (automatic),51.45,727.85,1.72,0.0
0080-OROZO,No,Femenino,0,No,No,35,Sí,No,Fiber optic,No,No,Sí,Sí,Sí,Sí,One year,Sí,Electronic check,99.25,3532.0,3.31,0.0
0082-LDZUE,No,Masculino,0,No,No,1,Sí,No,DSL,No,No,No,No,No,No,Month-to-month,Sí,Mailed check,44.3,44.3,1.48,0.0
0082-OQIQY,No,Masculino,0,No,No,29,Sí,No,Fiber optic,No,No,No,Sí,Sí,Sí,Month-to-month,Sí,Electronic check,94.2,2607.6,3.14,0.0
0083-PIVIK,No,Masculino,0,No,No,64,Sí,Sí,DSL,Sí,Sí,Sí,Sí,Sí,No,One year,No,Electronic check,81.25,5567.55,2.71,0.0
0089-IIQKO,No,Femenino,0,Sí,Sí,39,Sí,Sí,Fiber optic,No,No,No,Sí,Sí,Sí,Month-to-month,Sí,Credit card (automatic),99.95,3767.4,3.33,0.0
0093-EXYQL,No,Femenino,1,No,No,40,Sí,No,Fiber optic,No,No,No,No,Sí,Sí,Month-to-month,Sí,Electronic check,91.55,3673.6,3.05,0.0
0093-XWZFY,Sí,Masculino,0,No,No,40,Sí,Sí,Fiber optic,No,Sí,Sí,No,Sí,Sí,Month-to-month,Sí,Credit card (automatic),104.5,4036.85,3.48,1.0
0094-OIFMO,Sí,Femenino,1,No,No,11,Sí,No,Fiber optic,No,Sí,No,No,Sí,Sí,Month-to-month,Sí,Electronic check,95.0,1120.3,3.17,1.0
0096-BXERS,No,Femenino,0,Sí,No,6,Sí,Sí,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,50.35,314.55,1.68,0.0
0096-FCPUF,No,Masculino,0,No,No,30,Sí,Sí,DSL,Sí,No,No,No,No,Sí,Month-to-month,Sí,Mailed check,64.5,1888.45,2.15,0.0
0098-BOWSO,No,Masculino,0,No,No,27,Sí,No,Sin internet,,,,,,,Month-to-month,Sí,Electronic check,19.4,529.8,0.65,0.0
0100-DUVFC,No,Masculino,1,Sí,No,70,Sí,Sí,Fiber optic,No,Sí,Sí,No,Sí,Sí,One year,Sí,Electronic check,104.8,7308.95,3.49,0.0
0103-CSITQ,No,Femenino,0,Sí,No,57,Sí,Sí,Fiber optic,No,Sí,Sí,Sí,Sí,Sí,One year,Sí,Bank transfer (automatic),109.4,6252.7,3.65,0.0
0104-PPXDV,No,Masculino,0,Sí,No,58,Sí,No,DSL,No,No,Sí,No,No,No,One year,No,Credit card (automatic),50.3,2878.55,1.68,0.0
0106-GHRQR,No,Masculino,0,No,No,16,Sí,Sí,DSL,No,Sí,Sí,No,No,Sí,Month-to-month,Sí,Bank transfer (automatic),71.4,1212.1,2.38,0.0
0106-UGRDO,No,Femenino,0,Sí,No,69,Sí,Sí,Fiber optic,Sí,Sí,Sí,Sí,Sí,Sí,Two year,Sí,Electronic check,116.0,8182.85,3.87,0.0
0107-WESLM,Sí,Masculino,0,No,No,1,Sí,No,Sin internet,,,,,,,Month-to-month,Sí,Electronic check,19.85,19.85,0.66,1.0
0107-YHINA,Sí,Masculino,0,No,Sí,1,Sí,Sí,Fiber optic,No,No,Sí,No,Sí,Sí,Month-to-month,Sí,Electronic check,99.75,99.75,3.32,1.0
0111-KLBQG,No,Masculino,1,Sí,Sí,32,Sí,No,Fiber optic,No,Sí,No,No,Sí,Sí,Month-to-month,Sí,Mailed check,93.95,2861.45,3.13,0.0
0112-QAWRZ,No,Masculino,0,Sí,Sí,16,Sí,Sí,Fiber optic,No,No,Sí,No,Sí,No,Month-to-month,Sí,Bank transfer (automatic),90.8,1442.2,3.03,0.0
0112-QWPNC,Sí,Masculino,0,Sí,No,49,Sí,Sí,DSL,Sí,No,Sí,Sí,Sí,Sí,One year,No,Electronic check,84.35,4059.35,2.81,1.0
0114-IGABW,No,Femenino,0,Sí,No,71,No,Sin servicio telefónico,DSL,No,Sí,Sí,Sí,Sí,Sí,Two year,No,Bank transfer (automatic),58.25,4145.9,1.94,0.0
0114-PEGZZ,No,Femenino,0,No,No,33,Sí,Sí,Fiber optic,No,Sí,Sí,No,Sí,Sí,Month-to-month,No,Electronic check,107.55,3645.5,3.58,0.0
0114-RSRRW,No,Femenino,0,Sí,No,10,Sí,No,Sin internet,,,,,,,Month-to-month,Sí,Bank transfer (automatic),19.95,187.75,0.66,0.0
0115-TFERT,Sí,Masculino,0,Sí,No,21,Sí,Sí,Fiber optic,No,Sí,Sí,Sí,Sí,Sí,Month-to-month,Sí,Electronic check,111.2,2317.1,3.71,1.0
0117-LFRMW,Sí,Masculino,0,Sí,Sí,37,No,Sin servicio telefónico,DSL,Sí,Sí,Sí,No,No,No,Month-to-month,No,Bank transfer (automatic),40.2,1448.8,1.34,1.0
0118-JPNOY,No,Femenino,1,No,No,26,Sí,No,Fiber optic,Sí,No,No,No,Sí,No,Month-to-month,Sí,Credit card (automatic),85.8,2193.65,2.86,0.0
0120-YZLQA,,Masculino,0,No,No,71,Sí,No,Sin internet,,,,,,,Two year,Sí,Credit card (automatic),19.9,1355.1,0.66,
0121-SNYRK,No,Masculino,0,No,No,50,No,Sin servicio telefónico,DSL,Sí,No,No,Sí,No,No,One year,Sí,Mailed check,35.4,1748.9,1.18,0.0
0122-OAHPZ,Sí,Femenino,0,No,No,7,Sí,Sí,Fiber optic,No,No,No,No,No,No,Month-to-month,Sí,Electronic check,73.85,511.25,2.46,1.0
0123-CRBRT,No,Femenino,0,Sí,Sí,61,Sí,Sí,DSL,Sí,Sí,Sí,Sí,Sí,Sí,Two year,No,Mailed check,88.1,5526.75,2.94,0.0
0125-LZQXK,Sí,Masculino,0,No,No,15,Sí,No,Fiber optic,No,No,Sí,Sí,Sí,Sí,Month-to-month,Sí,Electronic check,101.35,1553.95,3.38,1.0
0128-MKWSG,No,Femenino,0,No,Sí,26,No,Sin servicio telefónico,DSL,Sí,No,No,Sí,No,Sí,Month-to-month,No,Mailed check,45.8,1147.0,1.53,0.0
0129-KPTWJ,No,Masculino,0,Sí,No,72,Sí,No,Fiber optic,No,No,Sí,No,Sí,Sí,Month-to-month,Sí,Electronic check,94.65,6747.35,3.16,0.0
0129-QMPDR,No,Masculino,0,Sí,Sí,44,Sí,No,Sin internet,,,,,,,One year,Sí,Bank transfer (automatic),20.5,865.05,0.68,0.0
0130-SXOUN,No,Masculino,0,No,No,66,Sí,Sí,Fiber optic,No,Sí,No,No,No,Sí,Month-to-month,No,Credit card (automatic),89.4,5976.9,2.98,0.0
0133-BMFZO,Sí,Femenino,0,No,No,2,Sí,No,Fiber optic,Sí,Sí,No,Sí,No,No,Month-to-month,Sí,Electronic check,86.25,181.65,2.88,1.0
0134-XWXCE,No,Femenino,1,No,No,44,Sí,No,DSL,No,No,Sí,Sí,Sí,Sí,One year,No,Bank transfer (automatic),74.85,3268.05,2.49,0.0
0135-NMXAP,Sí,Femenino,0,No,No,12,Sí,Sí,Fiber optic,No,Sí,No,No,Sí,No,Month-to-month,Sí,Bank transfer (automatic),89.75,1052.4,2.99,1.0
0136-IFMYD,No,Masculino,1,Sí,No,69,Sí,Sí,Fiber optic,No,Sí,Sí,Sí,Sí,Sí,Two year,Sí,Electronic check,109.95,7634.25,3.66,0.0
0137-OCGAB,Sí,Femenino,0,No,No,1,Sí,Sí,Fiber optic,No,Sí,No,No,No,No,Month-to-month,Sí,Mailed check,80.2,80.2,2.67,1.0
0137-UDEUO,Sí,Femenino,0,No,No,3,Sí,No,Sin internet,,,,,,,Month-to-month,No,Mailed check,19.85,63.75,0.66,1.0
0139-IVFJG,No,Femenino,0,Sí,No,2,Sí,No,Fiber optic,Sí,Sí,No,No,Sí,No,Month-to-month,No,Electronic check,90.35,190.5,3.01,0.0
0141-YEAYS,No,Femenino,1,No,No,27,Sí,Sí,Fiber optic,No,Sí,Sí,No,No,No,Month-to-month,Sí,Bank transfer (automatic),86.45,2401.05,2.88,0.0
0142-GVYSN,No,Masculino,0,No,No,26,Sí,No,Sin internet,,,,,,,Month-to-month,Sí,Electronic check,20.3,511.25,0.68,0.0
0147-ESWWR,No,Femenino,1,Sí,No,39,Sí,Sí,Fiber optic,No,No,No,Sí,Sí,Sí,Month-to-month,Sí,Electronic check,101.25,3949.15,3.38,0.0
0148-DCDOS,Sí,Masculino,0,No,No,25,Sí,Sí,Fiber optic,No,No,No,No,Sí,Sí,Month-to-month,Sí,Bank transfer (automatic),94.7,2362.1,3.16,1.0
0151-ONTOV,Sí,Femenino,0,No,No,1,Sí,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.9,70.9,2.36,1.0
0154-QYHJU,,Masculino,0,No,No,29,Sí,No,DSL,Sí,Sí,No,Sí,No,No,One year,Sí,Electronic check,58.75,1696.2,1.96,
0156-FVPTA,Sí,Masculino,0,Sí,No,22,Sí,No,DSL,Sí,No,No,Sí,No,No,Month-to-month,Sí,Electronic check,54.2,1152.7,1.81,1.0
0162-RZGMZ,,Femenino,1,No,No,5,Sí,No,DSL,Sí,Sí,No,Sí,No,No,Month-to-month,No,Credit card (automatic),59.9,287.85,2.0,
0164-APGRB,No,Femenino,0,No,No,72,Sí,Sí,Fiber optic,Sí,Sí,Sí,Sí,Sí,Sí,Two year,Sí,Electronic check,114.9,8496.7,3.83,0.0
0164-XAIRP,No,Femenino,0,No,No,24,Sí,No,Sin internet,,,,,,,Two year,Sí,Bank transfer (automatic),19.55,470.2,0.65,0.0
0168-XZKBB,No,Femenino,0,Sí,No,19,Sí,Sí,Fiber optic,No,No,No,No,Sí,No,Month-to-month,Sí,Electronic check,86.85,1564.4,2.9,0.0
0174-QRVVY,No,Masculino,0,Sí,Sí,71,Sí,Sí,Sin internet,,,,,,,Two year,No,Credit card (automatic),25.35,1847.55,0.85,0.0
0177-PXBAT,No,Masculino,1,Sí,No,33,Sí,Sí,Fiber optic,Sí,No,Sí,Sí,Sí,Sí,Month-to-month,Sí,Bank transfer (automatic),109.9,3694.7,3.66,0.0
0178-CIIKR,No,Femenino,0,No,No,3,Sí,No,Sin internet,,,,,,,Month-to-month,No,Mailed check,19.95,58.0,0.66,0.0
0178-SZBHO,No,Masculino,0,Sí,Sí,47,Sí,Sí,Fiber optic,No,Sí,No,No,Sí,No,Month-to-month,No,Electronic check,87.2,4017.45,2.91,0.0
0181-RITDD,No,Masculino,0,Sí,Sí,62,Sí,No,Fiber optic,Sí,Sí,Sí,Sí,Sí,Sí,Two year,No,Mailed check,108.15,6825.65,3.6,0.0
0186-CAERR,No,Masculino,0,No,No,71,Sí,Sí,Fiber optic,Sí,Sí,Sí,Sí,Sí,Sí,One year,Sí,Bank transfer (automatic),116.3,8309.55,3.88,0.0
0187-QSXOE,No,Masculino,1,Sí,No,7,Sí,No,Fiber optic,No,No,No,No,Sí,Sí,Month-to-month,Sí,Electronic check,89.0,605.45,2.97,0.0
0187-WZNAB,No,Femenino,0,Sí,Sí,27,Sí,No,Fiber optic,Sí,No,No,No,No,No,Month-to-month,No,Mailed check,74.4,1972.35,2.48,0.0
0188-GWFLE,No,Masculino,0,No,No,2,Sí,No,Sin internet,,,,,,,Month-to-month,No,Mailed check,20.05,33.7,0.67,0.0
0191-EQUUH,No,Femenino,0,No,Sí,25,No,Sin servicio telefónico,DSL,Sí,No,No,Sí,No,No,Two year,No,Bank transfer (automatic),35.05,844.45,1.17,0.0
0191-ZHSKZ,No,Masculino,1,No,No,30,Sí,No,DSL,Sí,Sí,No,No,Sí,Sí,Month-to-month,Sí,Electronic check,74.75,2111.3,2.49,0.0
0193-ESZXP,Sí,Femenino,1,Sí,No,58,Sí,No,Fiber optic,Sí,Sí,No,Sí,Sí,Sí,One year,Sí,Credit card (automatic),105.5,6205.5,3.52,1.0
0195-IESCP,Sí,Masculino,0,Sí,No,10,Sí,Sí,Fiber optic,No,No,No,No,No,Sí,Month-to-month,Sí,Electronic check,85.25,855.3,2.84,1.0
0196-JTUQI,No,Femenino,0,No,No,9,Sí,Sí,Fiber optic,No,No,No,No,No,No,Month-to-month,Sí,Credit card (automatic),75.2,633.85,2.51,0.0
0196-VULGZ,Sí,Femenino,1,Sí,No,6,Sí,Sí,Fiber optic,No,No,No,No,No,Sí,Month-to-month,Sí,Electronic check,84.35,474.9,2.81,1.0
0197-PNKNK,No,Femenino,0,Sí,Sí,69,Sí,Sí,Fiber optic,Sí,No,Sí,No,No,No,One year,No,Bank transfer (automatic),84.45,5848.6,2.82,0.0
0201-MIBOL,No,Femenino,1,No,No,66,Sí,Sí,Fiber optic,Sí,No,No,No,Sí,Sí,Two year,Sí,Bank transfer (automatic),102.4,6471.85,3.41,0.0
0201-OAMXR,Sí,Femenino,0,No,No,70,Sí,Sí,Fiber optic,Sí,Sí,Sí,Sí,Sí,Sí,One year,No,Credit card (automatic),115.55,8127.6,3.85,1.0
0203-HHYIJ,Sí,Masculino,0,No,No,25,Sí,Sí,Sin internet,,,,,,,One year,No,Bank transfer (automatic),25.3,676.35,0.84,1.0
